周期,市场需求,生产商库存,生产商缺货,生产商订单,分销商库存,分销商缺货,分销商订单,批发商库存,批发商缺货,批发商订单,零售商库存,零售商缺货,零售商订单
1,10,20,470,0,20,510,0,20,270,0,10,280,10
2,10,20,470,0,20,510,0,10,270,0,0,280,10
3,10,20,470,0,20,510,0,0,270,10,0,280,10
4,10,20,470,0,10,510,0,0,270,20,0,280,10
5,10,20,470,0,0,510,10,0,270,20,0,280,10
6,10,10,470,0,0,510,20,0,270,20,0,280,10
7,10,0,470,0,0,510,20,0,270,20,0,280,10
8,10,0,470,0,0,510,20,0,270,20,0,280,10
9,10,0,470,0,0,510,20,0,270,20,0,280,10
10,10,0,470,0,0,510,20,0,270,20,0,280,10
11,10,0,470,0,0,510,20,0,270,20,0,280,10
12,10,0,470,0,0,510,20,0,270,20,0,280,10
13,10,0,470,0,0,510,20,0,270,20,0,280,10
14,10,0,470,0,0,510,20,0,270,20,0,280,10
15,10,0,470,0,0,510,20,0,270,20,0,280,10
16,10,0,470,0,0,510,20,0,270,20,0,280,10
17,10,0,470,0,0,510,20,0,270,20,0,280,10
18,10,0,470,0,0,510,20,0,270,20,0,280,10
19,10,0,470,0,0,510,20,0,270,20,0,280,10
20,10,0,470,0,0,510,20,0,270,20,0,280,10
21,10,0,470,0,0,510,20,0,270,20,0,280,10
22,10,0,470,0,0,510,20,0,270,20,0,280,10
23,10,0,470,0,0,510,20,0,270,20,0,280,10
24,10,0,470,0,0,510,20,0,270,20,0,280,10
25,10,0,470,0,0,510,20,0,270,20,0,280,10
26,10,0,470,0,0,510,20,0,270,20,0,280,10
27,10,0,470,0,0,510,20,0,270,20,0,280,10
28,10,0,470,0,0,510,20,0,270,20,0,280,10
29,10,0,470,0,0,510,20,0,270,20,0,280,10
30,10,0,470,0,0,510,20,0,270,20,0,280,10
