周期,市场需求,生产商库存,生产商缺货,生产商订单,分销商库存,分销商缺货,分销商订单,批发商库存,批发商缺货,批发商订单,零售商库存,零售商缺货,零售商订单
1,11,25,0,0,20,0,0,20,0,0,24,0,10
2,7,30,0,0,20,0,0,10,0,0,32,0,15
3,8,35,0,0,20,0,0,0,5,10,39,0,25
4,13,40,0,0,10,0,0,0,30,20,41,0,25
5,13,45,0,0,0,10,10,0,55,20,43,0,25
6,11,40,0,0,0,30,20,0,80,20,47,0,25
7,9,25,0,0,0,50,20,0,105,20,53,0,25
8,10,10,0,0,0,70,20,0,130,20,58,0,25
9,13,0,5,0,0,90,20,0,155,20,60,0,25
10,8,0,20,0,0,110,20,0,180,20,67,0,25
11,12,0,35,0,0,130,20,0,205,20,70,0,25
12,13,0,50,0,0,150,20,0,230,20,72,0,25
13,8,0,65,0,0,170,20,0,255,20,79,0,25
14,7,0,80,0,0,190,20,0,280,20,87,0,25
15,13,0,95,0,0,210,20,0,305,20,89,0,25
16,8,0,110,0,0,230,20,0,330,20,96,0,25
17,13,0,125,0,0,250,20,0,355,20,98,0,25
18,13,0,140,0,0,270,20,0,380,20,100,0,25
19,9,0,155,0,0,290,20,0,405,20,106,0,25
20,11,0,170,0,0,310,20,0,430,20,110,0,5
21,11,0,185,0,0,330,20,0,435,20,114,0,5
22,8,0,200,0,0,350,20,0,440,20,121,0,5
23,12,0,215,0,0,370,20,0,445,20,124,0,5
24,9,0,230,0,0,390,20,0,450,20,130,0,5
25,7,0,245,0,0,410,20,0,455,20,138,0,5
26,7,0,260,0,0,430,20,0,460,20,146,0,5
27,11,0,275,0,0,450,20,0,465,20,150,0,5
28,9,0,290,0,0,470,20,0,470,20,156,0,5
29,8,0,305,0,0,490,20,0,475,20,163,0,5
30,11,0,320,0,0,510,20,0,480,20,167,0,5
